library,day,start_time,end_time
LE   ,fri,09:00:00,17:00:00
LE   ,sat,09:00:00,17:00:00
LHS  ,mon,09:00:00,20:00:00
LHS  ,tue,09:00:00,20:00:00
LHS  ,wed,09:00:00,20:00:00
LHS  ,thu,09:00:00,20:00:00
LHS  ,fri,09:00:00,20:00:00
LHS  ,sat,09:00:00,17:00:00
LHS  ,sun,13:30:00,17:30:00
LO   ,mon,09:00:00,20:00:00
LO   ,tue,09:00:00,20:00:00
LO   ,wed,09:00:00,20:00:00
LO   ,thu,09:00:00,20:00:00
LO   ,fri,09:00:00,17:00:00
LO   ,sat,09:00:00,17:00:00
LB   ,tue,12:30:00,20:30:00
LB   ,wed,10:00:00,18:00:00
LB   ,thu,12:30:00,20:30:00
LB   ,fri,10:00:00,18:00:00
LB   ,sat,09:00:00,17:00:00
MA   ,mon,09:00:00,20:00:00
MA   ,tue,09:00:00,20:00:00
MA   ,wed,09:00:00,20:00:00
MA   ,thu,09:00:00,20:00:00
MA   ,fri,09:00:00,17:00:00
MA   ,sat,09:00:00,17:00:00
MAL  ,mon,09:00:00,20:00:00
MAL  ,tue,09:00:00,20:00:00
MAL  ,wed,09:00:00,20:00:00
MAL  ,thu,09:00:00,20:00:00
MAL  ,fri,09:00:00,20:00:00
MAL  ,sat,09:00:00,17:00:00
MAL  ,sun,13:30:00,17:30:00
MAS  ,mon,09:00:00,20:00:00
MAS  ,tue,09:00:00,20:00:00
MAS  ,wed,09:00:00,20:00:00
MAS  ,thu,09:00:00,20:00:00
MAS  ,fri,09:00:00,20:00:00
MAS  ,sat,09:00:00,17:00:00
MAS  ,sun,13:30:00,17:30:00
MRV  ,mon,10:00:00,20:00:00
MRV  ,tue,12:30:00,20:30:00
MRV  ,wed,10:00:00,18:00:00
MRV  ,thu,12:30:00,20:30:00
MRV  ,fri,10:00:00,18:00:00
MRV  ,sat,09:00:00,17:00:00
MCG  ,tue,12:30:00,20:30:00
MCG  ,wed,10:00:00,18:00:00
MCG  ,thu,12:30:00,20:30:00
MCG  ,fri,10:00:00,18:00:00
MCG  ,sat,09:00:00,17:00:00
MCG  ,sun,13:30:00,17:30:00
MI   ,tue,12:30:00,20:30:00
MI   ,wed,12:30:00,20:30:00
MI   ,thu,10:00:00,18:00:00
MI   ,fri,10:00:00,18:00:00
MI   ,sat,09:00:00,17:00:00
MS   ,mon,09:00:00,20:00:00
MS   ,tue,09:00:00,20:00:00
MS   ,wed,09:00:00,20:00:00
MS   ,thu,09:00:00,20:00:00
MS   ,fri,09:00:00,17:00:00
MS   ,sat,09:00:00,17:00:00
MS   ,sun,13:30:00,17:30:00
MD   ,mon,10:00:00,20:00:00
MD   ,tue,12:30:00,20:30:00
MD   ,wed,10:00:00,18:00:00
MD   ,thu,12:30:00,20:30:00
MD   ,fri,10:00:00,18:00:00
MD   ,sat,09:00:00,17:00:00
MD   ,sun,13:30:00,17:30:00
MP   ,tue,12:30:00,20:30:00
MP   ,wed,10:00:00,18:00:00
MP   ,thu,12:30:00,20:30:00
MP   ,fri,10:00:00,18:00:00
MP   ,sat,09:00:00,17:00:00
NT   ,tue,10:00:00,18:00:00
NT   ,wed,12:30:00,20:30:00
NT   ,thu,12:30:00,20:30:00
NT   ,fri,10:00:00,18:00:00
NT   ,sat,09:00:00,17:00:00
NT   ,sun,13:30:00,17:30:00
NYCL ,mon,09:00:00,20:00:00
NYCL ,tue,09:00:00,20:00:00
NYCL ,wed,09:00:00,20:00:00
NYCL ,thu,09:00:00,20:00:00
NYCL ,fri,09:00:00,20:00:00
NYCL ,sat,09:00:00,17:00:00
NYCL ,sun,13:30:00,17:30:00
ND   ,mon,09:00:00,20:00:00
ND   ,tue,09:00:00,20:00:00
ND   ,wed,09:00:00,20:00:00
ND   ,thu,09:00:00,20:00:00
ND   ,fri,09:00:00,20:00:00
ND   ,sat,09:00:00,17:00:00
ND   ,sun,13:30:00,17:30:00
NE   ,tue,12:30:00,20:30:00
NE   ,wed,12:30:00,20:30:00
NE   ,thu,10:00:00,18:00:00
NE   ,fri,10:00:00,18:00:00
NE   ,sat,09:00:00,17:00:00
OV   ,mon,10:00:00,20:00:00
OV   ,tue,12:30:00,20:30:00
OV   ,wed,10:00:00,18:00:00
OV   ,thu,12:30:00,20:30:00
OV   ,fri,10:00:00,18:00:00
OV   ,sat,09:00:00,17:00:00
PM   ,mon,10:00:00,20:00:00
PM   ,tue,12:30:00,20:30:00
PM   ,wed,10:00:00,18:00:00
PM   ,thu,12:30:00,20:30:00
PM   ,fri,10:00:00,18:00:00
PM   ,sat,09:00:00,17:00:00
PA   ,mon,09:00:00,20:00:00
PA   ,tue,09:00:00,20:00:00
PA   ,wed,09:00:00,20:00:00
